CBBTCUSD
DATE;Bitcoin;Ethereum;GoTrend(E);GoTrend(B);S&P500;Price(Gold);Inflation;MoneySupply;VIX
2018-11-19;5536.3185714285714286;116.449997;10;15;2716.1920000000000000;1209.7900000000000000;2.0060000000000000;14293.0;19.8980000000000000
2018-11-26;4126.6428571428571429;116.388901;10;12;2649.4575000000000000;1224.8300000000000000;1.9650000000000000;14243.5;20.9250000000000000
2018-12-03;4043.2428571428571429;95.142059;8;11;2742.8520000000000000;1223.2400000000000000;1.9520000000000000;14371.7;18.1620000000000000
2018-12-10;3535.9757142857142857;85.262100;8;11;2666.7025000000000000;1239.9700000000000000;1.8975000000000000;14415.7;21.9500000000000000
2018-12-17;3302.1614285714285714;130.765259;11;10;2616.8560000000000000;1243.1400000000000000;1.8240000000000000;14436.1;22.0040000000000000
2018-12-24;3889.1528571428571429;139.859451;10;9;2457.6520000000000000;1254.2500000000000000;1.7780000000000000;14503.7;29.1440000000000000
2018-12-31;3759.7142857142857143;157.746201;10;9;2487.2800000000000000;1276.6666666666666667;1.7375000000000000;14551.4;28.5325000000000000
2019-01-07;3881.4757142857142857;116.897804;9;8;2509.8875000000000000;1289.2500000000000000;1.7300000000000000;14556.7;22.8625000000000000
2019-01-14;3722.5185714285714286;119.474831;6;7;2586.9760000000000000;1288.8200000000000000;1.8200000000000000;14508.0;19.4420000000000000
2019-01-21;3598.5100000000000000;113.405289;6;7;2633.2675000000000000;1287.5200000000000000;1.8125000000000000;14416.3;18.3750000000000000
2019-01-28;3539.7457142857142857;107.492668;6;8;2644.5080000000000000;1286.6700000000000000;1.7860000000000000;14347.1;19.1000000000000000
2019-02-04;3425.2500000000000000;124.806488;7;7;2691.3100000000000000;1315.1100000000000000;1.8440000000000000;14411.8;17.0460000000000000
2019-02-11;3519.9542857142857143;133.598877;9;8;2718.6080000000000000;1310.3600000000000000;1.8420000000000000;14415.9;15.8020000000000000
2019-02-18;3623.8971428571428571;135.852661;9;8;2754.7725000000000000;1314.0700000000000000;1.8500000000000000;14416.1;15.5525000000000000
2019-02-25;3904.2485714285714286;132.249420;7;7;2785.6240000000000000;1332.3500000000000000;1.9000000000000000;14395.5;14.3440000000000000
2019-03-04;3785.0071428571428571;136.758682;6;7;2793.4540000000000000;1315.3700000000000000;1.9400000000000000;14541.0;14.5700000000000000
2019-03-11;3866.3228571428571429;140.000549;6;7;2767.2800000000000000;1289.4800000000000000;1.9100000000000000;14584.7;15.4900000000000000
2019-03-18;3913.6114285714285714;136.986923;6;7;2813.2680000000000000;1302.5100000000000000;1.9320000000000000;14595.4;13.3320000000000000
